ActiveScreener Id;Title;Authors;List of Reviewers;Include this reference?;Characterize the organization to which the authors are affiliated?;Strategies;Study characteristics;Potential effects or impact;What is the evaluation method?;What is the contaminant or variable under study?;TEMPORAL: What is the temporal scale of the study?;SPATIAL 1:What is the spatial scale of the study?;SPATIAL 2. National or International;SPATIAL 3: What is the Chilean macro zone in which the study is developed?;Emission  source in study
7361853;Local Air Quality Issues and Research Priorities Through the Lenses of Chilean Experts: An Ontological Analysis;Manzano, C. A., Jacome, M., Syn, T.  et al.;Sanchez, Luis;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361852;Patterns of Personal Exposure to Urban Pollutants Using Personal Passive Samplers and GC Ã— GC/ToF-MS;Manzano, C. A., Dodder, N. G., Hoh, E.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, "", ""Modeling air pollution""";"""Ambient (eg outdoor)""";"""Human health"", ""Regulatory and Legal""";"""concentrations"", ""Chemical composition""";"""VOCs/SVOCs - Organic Compounds"", ""HAPs - hidrocarburos aromÃ¡ticos policÃ­clicos """;"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Agriculture "", ""Domestic heating / wood burning"", ""Industrial and commercial emissions """
7361851;Proinflammatory effects of air pollution in Santiago de Chile;Manuel OyarzÃºn, G., Nelson Dussaubat, D., Eugenia Miller, M. A.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)"", ""Public sector (gob, ministerio)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)"", ""Human health""";"""Toxicological"", ""concentrations""";"""O3 ozone - photochemical smog"", ""PM - particulate matter"", ""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""COx - Oxides of Carbon""";"""Month - to 3 months""";"""Micro-scale (indoor, workplace, residential, street canyons, critical point, etc)""";"""Only national""";"""Central zone""";"""Traffic """
7361850;Polychlorinated biphenyls associated with fine particles (PM2.5) in the urban environment of Chile: Concentration levels, and sampling volatilization losses;Mandalakis, M., Stephanou, E. G. ;Manzano, Carlos;"""Yes, include the reference""";"""Private sector""";"""Assessment of representativeness"", ""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, "", ""Modeling air pollution""";"""Ambient (eg outdoor)""";"""Human health""";"""concentrations""";"""PCB - Polychlorinated biphenyls""";"""Month - to 3 months""";"""Regional""";"""Only national""";"""South zone"", ""Central zone""";"""Traffic "", ""Industrial and commercial emissions """
7361849;Changes in the prevalence of asthma and related risk factors in adolescents: Three surveys between 1994 and 2015;Mallol, J., Aguirre, V., Mallol-Simmonds, M.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Public sector (gob, ministerio)"", ""Academia (university, institute, others)""";"""Assessment of representativeness""";"""Managment, economic, legal, social"", ""Indoor (eg indoor, work environments)""";"""Human health""";"""Epidemiological""";"""Other""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Others not classified"""
7361848;Air pollution and lichen in the city of Santiago, Chile;Mahu, M. ;Sanchez, Luis;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361847;Vehicle restrictions in four latin American cities: Is congestion pricing possible?;Mahendra, A. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Managment, economic, legal, social""";"""Regulatory and Legal"", ""Economic""";"""Others not classified""";"""Other""";"""1 Year or more""";"""Regional""";"""International comparisons""";"""Central zone""";"""Traffic """
7361846;Epidemiology of rhinitis and asthma;Lundback, B. ;Toro, Richard;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361845;Contributions of dioxins and furans to the urban sediment signature: The role of atmospheric particles;Loyola-SepÃºlveda, R., Salamanca, M. O., GutiÃ©rrez-Baeza, F.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Modeling air pollution""";"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)""";"""concentrations"", ""Chemical composition""";"""DIO - Dioxins and furans (PCDDs & PCDFs)""";"""Not applicable""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone""";"""Domestic heating / wood burning"", ""Traffic """
7361844;Synergetic aerosol layer observation after the 2015 Calbuco volcanic eruption event;Lopes, F. J. S., Silva, J. J., Marrero, J. C. A.  et al.;Toro, Richard;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Laboratory study""";"""Ambient (eg outdoor)""";"""Others not classified""";"""Satellite approach"", ""Physical measurements of pollutants"", ""Chemical composition"", ""Meteorological measurements""";"""PHYS - Physical measurements (eg radiation)"", ""Aerosol"", ""PM - particulate matter""";"""Hours- 3 Weeks""";"""Regional""";"""International comparisons""";"""South zone""";"""Natural sources """
7361843;Residential exposure to petrochemical industrial complexes and the risk of leukemia: A systematic review and exposure-response meta-analysis;Lin, C. K., Hsu, Y. T., Brown, K. D.  et al.;Sanchez, Luis;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361842;A study of water-soluble inorganic ions in size-segregated aerosols in atmospheric pollution episode;Leiva, M. A., Toro A., R., Morales, R. G. E.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Information of the public"", ""Modeling air pollution"", ""Exposure assessment""";"""Ambient (eg outdoor)""";NA;"""Chemical composition""";"""PM - particulate matter""";"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Not applicable"""
7361841;A five-year study of particulate matter (PM2.5) and cerebrovascular diseases;Leiva, M. A., SantibaÃ±ez, D. A., Ibarra E, S.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""management tool""";"""Ambient (eg outdoor)""";"""Human health""";"""Epidemiological"", ""concentrations""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic "", ""Industrial and commercial emissions """
7361840;Vertical variability of seawater DMS in the South Pacific Ocean and its implication for atmospheric and surface seawater DMS;Lee, G., Park, J., Jang, Y.  et al.;Manzano, Carlos;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361839;MODELACIÃ“N DE LA DISPERSIÃ“N DE ANHÃDRIDO SULFUROSO EN LA COMUNA DE LA COMUNA DE PUCHUNCAVÃ UTILIZANDO EL PROGRAMA ISC3;Lazo, Pamela, CurÃ©, Michel, Gaete, HernÃ¡n ;Toro, Richard;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Compliance assessment""";"""Ambient (eg outdoor)""";"""Others not classified""";"""Computer Modeling"", ""Meteorological measurements"", ""concentrations""";"""SOx - Oxides of Sulphur""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Power generation"", ""Industrial and commercial emissions """
7361838;The value of air quality and crime in Chile: A hedonic wage approach;LavÃ­n, F. V., Dresdner, J., Aguilar, R. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""management tool""";"""Managment, economic, legal, social""";"""Economic""";"""concentrations""";"""PM - particulate matter""";"""Season - Year""";"""Regional""";"""Only national""";"""National level(not insular or antarctic)""";"""Not applicable"""
7361837;Firewood certification programs: Key attributes and policy implications;Lavin, F. V., Barrientos, M., Castillo, A.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Modeling air pollution""";"""Managment, economic, legal, social""";"""Economic"", ""Regulatory and Legal""";"""Others not classified""";"""Other""";"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Domestic heating / wood burning"""
7361836;Personality and perception characteristics of the atmospheric pollution problem in Santiago, Chile;Larrain Navarro, P., Simpson-Housley, N. P. ;Sanchez, Luis;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361835;Soccer games and record-breaking PM2.5 pollution events in Santiago, Chile;Lapere, R., Menut, L., Mailler, S.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Modeling air pollution""";"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""concentrations""";"""PM - particulate matter"", ""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""COx - Oxides of Carbon""";"""Hours- 3 Weeks""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Domestic heating / wood burning"""
7361834;The 2017 mega-fires in central chile: Impacts on regional atmospheric composition and meteorology assessed from satellite data and chemistry-transport modeling;Lapere, R., Mailler, S., Menut, L. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)""";"""Satellite approach"", ""concentrations""";"""O3 ozone - photochemical smog"", ""COx - Oxides of Carbon"", ""PHYS - Physical measurements (eg radiation)"", ""PM - particulate matter""";"""Hours- 3 Weeks""";"""Regional""";"""Only national""";"""National level(not insular or antarctic)""";"""Wildfires"""
7361833;Model-simulated source contributions to PM2.5 in Santiago and the central region of Chile;Langner, J., Gidhagen, L., BergstrÃ¶m, R.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""Computer Modeling""";"""PM - particulate matter"", ""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""VOCs/SVOCs - Organic Compounds"", ""COx - Oxides of Carbon"", ""O3 ozone - photochemical smog"", ""SOx - Oxides of Sulphur""";"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Natural sources "", ""Wildfires"", ""Power generation"", ""Agriculture "", ""Industrial and commercial emissions "", ""Mining"", ""Domestic heating / wood burning"", ""Traffic """
7361832;Sulfur dioxide abatement costs and compliance with health-based standards: the case of copper smelters;Lagos, G., Lehuede, J. M., Andia, M. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Managment, economic, legal, social"", ""Ambient (eg outdoor)""";"""Regulatory and Legal"", ""Economic"", ""Human health""";"""concentrations""";"""SOx - Oxides of Sulphur"", ""PM - particulate matter""";"""1 Year or more""";"""Micro-scale (indoor, workplace, residential, street canyons, critical point, etc)""";"""Only national""";"""Central zone"", ""Great North"", ""Little North""";"""Industrial and commercial emissions "", ""Mining"""
7361831;A pilot study for predicting ozone amounts for the general public in southern Chile;Lachlan-Cope, T., Turner, J., Sear, C. B.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Modeling air pollution""";"""Ambient (eg outdoor)""";"""Human health""";"""Satellite approach"", ""Computer Modeling""";"""O3 STRATOs - Ozone layer""";"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""Austral austral""";"""Not applicable"""
7361830;Evolution of air pollution and impact of control programs in three Megacities of Latin America;LacasaÃ±a-Navarro, M., Aguilar-GarduÃ±o, C., Romieu, I. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)"", ""International organization""";"""Compliance assessment""";"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""concentrations""";"""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""SOx - Oxides of Sulphur"", ""O3 ozone - photochemical smog"", ""PM - particulate matter""";"""1 Year or more""";"""Global""";"""Only national""";"""Central zone""";"""Not applicable"""
7361829;Polynuclear aromatic hydrocarbon concentration and mutagenicity of airborne particles in urban air: Comparison of Tokyo area and Santiago;Koyano, M., Endo, O., Katoh, M.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""International organization"", ""Public sector (gob, ministerio)"", ""Academia (university, institute, others)""";"""Assessment of representativeness""";"""Ambient (eg outdoor)""";"""Human health""";"""concentrations""";"""HAPs - hidrocarburos aromÃ¡ticos policÃ­clicos """;"""Hours- 3 Weeks""";"""Global""";"""International comparisons""";"""Central zone""";"""Domestic heating / wood burning"", ""Industrial and commercial emissions "", ""Agriculture """
